Hotel,Country,Total Of Special Requests
Resort Hotel,SWE,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,DEU,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,DEU,1
Resort Hotel,DEU,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,CN,1
Resort Hotel,CN,1
Resort Hotel,CN,1
Resort Hotel,CN,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,DNK,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,CHE,1
Resort Hotel,RUS,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,NOR,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,other,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,CHE,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,NOR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,ARG,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,GBR,1
Resort Hotel,NLD,1
Resort Hotel,GBR,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,other,1
Resort Hotel,PRT,1
Resort Hotel,DEU,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,other,1
Resort Hotel,GBR,1
Resort Hotel,CHE,1
Resort Hotel,USA,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,FRA,1
Resort Hotel,AUS,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,BEL,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,BEL,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,USA,1
Resort Hotel,BEL,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,CHE,1
Resort Hotel,CN,1
Resort Hotel,POL,1
Resort Hotel,GBR,1
Resort Hotel,other,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,NOR,1
Resort Hotel,NOR,1
Resort Hotel,GBR,1
Resort Hotel,DEU,1
Resort Hotel,DEU,1
Resort Hotel,CHE,1
Resort Hotel,AUT,1
Resort Hotel,DEU,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,CHE,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,IND,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,CN,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,CN,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,NLD,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,GBR,1
Resort Hotel,FRA,1
Resort Hotel,NLD,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,ROU,1
Resort Hotel,NLD,1
Resort Hotel,BRA,1
Resort Hotel,GBR,1
Resort Hotel,NOR,1
Resort Hotel,SWE,1
Resort Hotel,SWE,1
Resort Hotel,GBR,1
Resort Hotel,ROU,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,USA,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,DNK,1
Resort Hotel,LVA,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,DEU,1
Resort Hotel,CHE,1
Resort Hotel,DEU,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,DEU,1
Resort Hotel,IRL,1
Resort Hotel,BEL,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,FRA,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,DEU,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,NLD,1
Resort Hotel,GBR,1
Resort Hotel,ROU,1
Resort Hotel,ROU,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,NOR,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,DEU,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,DEU,1
Resort Hotel,CHE,1
Resort Hotel,CHE,1
Resort Hotel,FIN,1
Resort Hotel,DEU,1
Resort Hotel,CHE,1
Resort Hotel,DEU,1
Resort Hotel,PRT,1
Resort Hotel,CHE,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,MYS,1
Resort Hotel,CHE,1
Resort Hotel,DEU,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,CN,1
Resort Hotel,FIN,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,ROU,1
Resort Hotel,IRL,1
Resort Hotel,POL,1
Resort Hotel,GBR,1
Resort Hotel,CN,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,CN,1
Resort Hotel,NOR,1
Resort Hotel,CN,1
Resort Hotel,DEU,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,DEU,1
Resort Hotel,PRT,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,other,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,other,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,CHE,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,DNK,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,DEU,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,other,1
Resort Hotel,ESP,1
Resort Hotel,other,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,other,1
Resort Hotel,USA,1
Resort Hotel,IRL,1
Resort Hotel,POL,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,CHE,1
Resort Hotel,ZAF,1
Resort Hotel,GBR,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,FIN,1
Resort Hotel,GBR,1
Resort Hotel,USA,1
Resort Hotel,BEL,1
Resort Hotel,SWE,1
Resort Hotel,PRT,1
Resort Hotel,RUS,1
Resort Hotel,NLD,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,ITA,1
Resort Hotel,LVA,1
Resort Hotel,GBR,1
Resort Hotel,USA,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,RUS,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,POL,1
Resort Hotel,PRT,1
Resort Hotel,NLD,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,FIN,1
Resort Hotel,NLD,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,other,1
Resort Hotel,GBR,1
Resort Hotel,ITA,1
Resort Hotel,CHN,1
Resort Hotel,PRT,1
Resort Hotel,ITA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,NZL,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,BRA,1
Resort Hotel,PRT,1
Resort Hotel,CHN,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,SWE,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,FRA,1
Resort Hotel,UGA,1
Resort Hotel,ITA,1
Resort Hotel,GBR,1
Resort Hotel,FRA,1
Resort Hotel,BRA,1
Resort Hotel,FRA,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,BRA,1
Resort Hotel,OMN,1
Resort Hotel,FRA,1
Resort Hotel,POL,1
Resort Hotel,GBR,1
Resort Hotel,RUS,1
Resort Hotel,DEU,1
Resort Hotel,IRL,1
Resort Hotel,ISL,1
Resort Hotel,ISL,1
Resort Hotel,IRL,1
Resort Hotel,SWE,1
Resort Hotel,USA,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,ITA,1
Resort Hotel,FIN,1
Resort Hotel,GBR,1
Resort Hotel,POL,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,DEU,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ITA,1
Resort Hotel,SWE,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,CHE,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,LTU,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,FRA,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,CPV,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,DEU,1
Resort Hotel,PRT,1
Resort Hotel,POL,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,BRA,1
Resort Hotel,FRA,1
Resort Hotel,GBR,1
Resort Hotel,NOR,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,BEL,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,USA,1
Resort Hotel,CN,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,USA,1
Resort Hotel,USA,1
Resort Hotel,GBR,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,CHE,1
Resort Hotel,ESP,1
Resort Hotel,USA,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,NLD,1
Resort Hotel,FRA,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,CHN,1
Resort Hotel,other,1
Resort Hotel,MEX,1
Resort Hotel,DEU,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,BEL,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,ITA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,DEU,1
Resort Hotel,BEL,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,other,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,CHN,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,AUT,1
Resort Hotel,NLD,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,CN,1
Resort Hotel,FRA,1
Resort Hotel,GBR,1
Resort Hotel,USA,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,AUS,1
Resort Hotel,ESP,1
Resort Hotel,CHN,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,BRA,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,VNM,1
Resort Hotel,DNK,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,USA,1
Resort Hotel,NLD,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PHL,1
Resort Hotel,PRT,1
Resort Hotel,USA,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,DNK,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,ITA,1
Resort Hotel,PRT,1
Resort Hotel,USA,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,USA,1
Resort Hotel,AUS,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,CHE,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,NLD,1
Resort Hotel,BEL,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,NLD,1
Resort Hotel,BRA,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,MAR,1
Resort Hotel,BRA,1
Resort Hotel,CN,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,FRA,1
Resort Hotel,ITA,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,SWE,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,POL,1
Resort Hotel,FRA,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,SWE,1
Resort Hotel,CHE,1
Resort Hotel,GBR,1
Resort Hotel,BEL,1
Resort Hotel,ESP,1
Resort Hotel,NLD,1
Resort Hotel,ESP,1
Resort Hotel,MAR,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,DEU,1
Resort Hotel,CN,1
Resort Hotel,DEU,1
Resort Hotel,NLD,1
Resort Hotel,ROU,1
Resort Hotel,GBR,1
Resort Hotel,FIN,1
Resort Hotel,ITA,1
Resort Hotel,SWE,1
Resort Hotel,SWE,1
Resort Hotel,PRT,1
Resort Hotel,ARG,1
Resort Hotel,ESP,1
Resort Hotel,CHE,1
Resort Hotel,GBR,1
Resort Hotel,SWE,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,FRA,1
Resort Hotel,USA,1
Resort Hotel,GBR,1
Resort Hotel,USA,1
Resort Hotel,HUN,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ITA,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,AUT,1
Resort Hotel,PRT,1
Resort Hotel,DEU,1
Resort Hotel,PRT,1
Resort Hotel,BEL,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,BEL,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,BRA,1
Resort Hotel,CN,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,AUS,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,AUS,1
Resort Hotel,GBR,1
Resort Hotel,SWE,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,NLD,1
Resort Hotel,other,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,BRA,1
Resort Hotel,FRA,1
Resort Hotel,POL,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,USA,1
Resort Hotel,CPV,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,ARG,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,CHE,1
Resort Hotel,ESP,1
Resort Hotel,LUX,1
Resort Hotel,ESP,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,BRA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,BRA,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,ITA,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,GBR,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,EST,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,COL,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,FRA,1
Resort Hotel,ROU,1
Resort Hotel,GBR,1
Resort Hotel,CN,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,DEU,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,ARG,1
Resort Hotel,DEU,1
Resort Hotel,USA,1
Resort Hotel,MAR,1
Resort Hotel,SVN,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,POL,1
Resort Hotel,FIN,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,ITA,1
Resort Hotel,ROU,1
Resort Hotel,CN,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,IRL,1
Resort Hotel,GBR,1
Resort Hotel,ITA,1
Resort Hotel,CN,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,CN,1
Resort Hotel,NLD,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,GBR,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,ITA,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,BRA,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,BRA,1
Resort Hotel,IRL,1
Resort Hotel,NLD,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,PRT,1
Resort Hotel,CHE,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,FIN,1
Resort Hotel,GBR,1
Resort Hotel,BEL,1
Resort Hotel,ITA,1
Resort Hotel,ISR,1
Resort Hotel,GBR,1
Resort Hotel,LUX,1
Resort Hotel,SGP,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,NOR,1
Resort Hotel,ESP,1
Resort Hotel,FRA,1
Resort Hotel,POL,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,GBR,1
Resort Hotel,IRL,1
Resort Hotel,NLD,1
Resort Hotel,BEL,1
Resort Hotel,DEU,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,FRA,1
Resort Hotel,FRA,1
Resort Hotel,PRT,1
Resort Hotel,USA,1
Resort Hotel,SWE,1
Resort Hotel,ESP,1
Resort Hotel,DNK,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,IRL,1
Resort Hotel,FRA,1
Resort Hotel,IRL,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,DNK,1
Resort Hotel,IRL,1
Resort Hotel,ESP,1
Resort Hotel,ESP,1
Resort Hotel,PRT,1
Resort Hotel,IRL,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,PRT,1
Resort Hotel,ESP,1
Resort Hotel,CPV,1
Resort Hotel,ITA,1
Resort Hotel,PRT,1
Resort Hotel,TWN,1
